,amount,amount,no_of_donors,no_of_donors
5667.0,5000000.0,5000000.0,1,1.0
5674.0,5000000.0,5000000.0,1,1.0
5679.0,54071800.0,18023933.333333332,11,3.6666666666666665
5686.0,33500000.0,33500000.0,11,11.0
5690.0,1320000.0,660000.0,2,1.0
5697.0,14252487.0,7126243.5,10,5.0
5736.0,38000000.0,19000000.0,8,4.0
5756.0,14420000.0,14420000.0,24,24.0
5761.0,4284370.0,2142185.0,2,1.0
5789.0,20750000.0,20750000.0,11,11.0
5790.0,50235000.0,50235000.0,44,44.0
5792.0,21900000.0,21900000.0,4,4.0
5809.0,10980000.0,10980000.0,7,7.0
5837.0,390804775.0,130268258.33333333,43,14.333333333333334
5842.0,5800000.0,5800000.0,2,2.0
5847.0,9500000.0,4750000.0,4,2.0
5854.0,10500000.0,10500000.0,7,7.0
5856.0,36987600.0,9246900.0,9,2.25
5858.0,15778229.0,7889114.5,6,3.0
5861.0,45449624.0,11362406.0,23,5.75
5873.0,37700000.0,12566666.666666666,20,6.666666666666667
5887.0,6100000.0,3050000.0,2,1.0
5890.0,8745950.0,4372975.0,4,2.0
5893.0,70803900.0,17700975.0,8,2.0
5895.0,12960735.0,12960735.0,2,2.0
8001.0,1404104354.0,468034784.6666667,107,35.666666666666664
8078.0,25000000.0,12500000.0,2,1.0
8137.0,31070250.0,10356750.0,6,2.0
8141.0,8000000.0,8000000.0,2,2.0
8296.0,58310648.0,58310648.0,9,9.0
8372.0,56850000.0,56850000.0,10,10.0
8421.0,8340000.0,8340000.0,4,4.0
8433.0,73460000.0,36730000.0,3,1.5
8520.0,10000000.0,10000000.0,3,3.0
8549.0,15000000.0,7500000.0,3,1.5
8558.0,20000000.0,20000000.0,4,4.0
8560.0,2800000.0,1400000.0,2,1.0
8573.0,81909559.0,40954779.5,8,4.0
8606.0,2000000.0,2000000.0,4,4.0
8638.0,112211742.0,18701957.0,13,2.1666666666666665
8675.0,1000000.0,1000000.0,8,8.0
8685.0,6995000.0,3497500.0,3,1.5
8758.0,620510000.0,206836666.66666666,37,12.333333333333334
8832.0,14380000.0,7190000.0,4,2.0
8849.0,1200000.0,1200000.0,1,1.0
11001.0,4127347553.3199997,458594172.59111106,278,30.88888888888889
13001.0,1646972282.0,329394456.4,112,22.4
13006.0,42000000.0,21000000.0,8,4.0
13052.0,64573000.0,21524333.333333332,26,8.666666666666666
13074.0,62800000.0,31400000.0,19,9.5
13160.0,16950000.0,8475000.0,4,2.0
13188.0,12600000.0,12600000.0,4,4.0
13212.0,17000000.0,8500000.0,5,2.5
13222.0,14000000.0,14000000.0,3,3.0
13244.0,37500000.0,18750000.0,7,3.5
13248.0,11500000.0,11500000.0,3,3.0
13300.0,4000000.0,4000000.0,1,1.0
13430.0,43940000.0,10985000.0,12,3.0
13440.0,15000000.0,15000000.0,3,3.0
13442.0,6500000.0,6500000.0,4,4.0
13468.0,300000.0,300000.0,1,1.0
13473.0,57000000.0,57000000.0,2,2.0
13490.0,5000000.0,5000000.0,1,1.0
13549.0,10200000.0,5100000.0,3,1.5
13580.0,29260000.0,29260000.0,6,6.0
13600.0,32440000.0,10813333.333333334,9,3.0
13647.0,25000000.0,25000000.0,2,2.0
13650.0,10000000.0,10000000.0,2,2.0
13655.0,16600000.0,16600000.0,17,17.0
13667.0,4500000.0,2250000.0,2,1.0
13670.0,35500000.0,11833333.333333334,12,4.0
13673.0,20755000.0,10377500.0,5,2.5
13688.0,24500000.0,12250000.0,4,2.0
13744.0,51600000.0,17200000.0,19,6.333333333333333
13780.0,49834500.0,12458625.0,21,5.25
13838.0,54800000.0,27400000.0,18,9.0
13873.0,18845000.0,9422500.0,5,2.5
13894.0,20220000.0,10110000.0,5,2.5
15001.0,113310000.0,113310000.0,31,31.0
15051.0,0.0,0.0,1,1.0
15087.0,3731500.0,3731500.0,1,1.0
15104.0,5300000.0,5300000.0,3,3.0
15106.0,3461430.0,3461430.0,3,3.0
15109.0,3000000.0,3000000.0,1,1.0
15114.0,5850000.0,2925000.0,2,1.0
15135.0,3000000.0,3000000.0,2,2.0
15162.0,35000000.0,35000000.0,3,3.0
15172.0,12865000.0,12865000.0,14,14.0
15176.0,9200000.0,4600000.0,2,1.0
15204.0,26000000.0,26000000.0,6,6.0
15215.0,5300000.0,5300000.0,4,4.0
15224.0,0.0,0.0,1,1.0
15236.0,2700000.0,2700000.0,1,1.0
15238.0,412600.0,206300.0,3,1.5
15293.0,500000.0,500000.0,1,1.0
15299.0,2300000.0,1150000.0,3,1.5
15367.0,4000000.0,4000000.0,1,1.0
15401.0,35000000.0,17500000.0,21,10.5
15403.0,4000000.0,4000000.0,2,2.0
15407.0,29500000.0,29500000.0,5,5.0
15425.0,8719500.0,8719500.0,7,7.0
15464.0,1500000.0,1500000.0,1,1.0
15466.0,2000000.0,2000000.0,1,1.0
15469.0,3500000.0,3500000.0,1,1.0
15480.0,7500000.0,7500000.0,2,2.0
15491.0,5154450.0,5154450.0,10,10.0
15494.0,5700000.0,2850000.0,2,1.0
15500.0,37300000.0,18650000.0,4,2.0
15531.0,5000000.0,5000000.0,1,1.0
15537.0,11838000.0,5919000.0,7,3.5
15572.0,96650000.0,24162500.0,48,12.0
15580.0,14000000.0,14000000.0,5,5.0
15599.0,1000000.0,1000000.0,1,1.0
15600.0,6000000.0,6000000.0,3,3.0
15646.0,23000000.0,23000000.0,4,4.0
15664.0,0.0,0.0,1,1.0
15673.0,0.0,0.0,1,1.0
15686.0,2915000.0,2915000.0,1,1.0
15693.0,5000000.0,5000000.0,1,1.0
15720.0,3500000.0,3500000.0,2,2.0
15723.0,5800000.0,5800000.0,1,1.0
15759.0,89860000.0,89860000.0,6,6.0
15761.0,5800000.0,5800000.0,1,1.0
15764.0,2669730.0,2669730.0,1,1.0
15774.0,1800000.0,1800000.0,2,2.0
15776.0,7140000.0,7140000.0,3,3.0
15798.0,900000.0,900000.0,9,9.0
15806.0,25560000.0,25560000.0,14,14.0
15814.0,2000000.0,2000000.0,1,1.0
15835.0,0.0,0.0,1,1.0
15837.0,3000000.0,3000000.0,1,1.0
15861.0,8200000.0,4100000.0,4,2.0
17001.0,333210000.0,83302500.0,86,21.5
17013.0,0.0,0.0,1,1.0
17050.0,46200000.0,15400000.0,8,2.6666666666666665
17174.0,20500000.0,10250000.0,7,3.5
17272.0,9000000.0,4500000.0,2,1.0
17380.0,8632714.0,8632714.0,7,7.0
17433.0,40200000.0,20100000.0,7,3.5
17442.0,10000000.0,10000000.0,2,2.0
17524.0,7000000.0,7000000.0,25,25.0
17541.0,20000000.0,20000000.0,4,4.0
17614.0,48225365.0,9645073.0,18,3.6
17653.0,647500.0,647500.0,2,2.0
17662.0,20000000.0,20000000.0,2,2.0
17777.0,650000.0,650000.0,1,1.0
17867.0,21400000.0,21400000.0,3,3.0
17873.0,22200000.0,11100000.0,12,6.0
17877.0,8000000.0,8000000.0,2,2.0
18001.0,93760000.0,31253333.333333332,11,3.6666666666666665
18029.0,29100000.0,14550000.0,7,3.5
18094.0,24189248.0,12094624.0,10,5.0
18150.0,47690232.0,15896744.0,10,3.3333333333333335
18205.0,10500000.0,5250000.0,3,1.5
18247.0,13100000.0,6550000.0,5,2.5
18256.0,8230100.0,8230100.0,4,4.0
18410.0,27000000.0,27000000.0,9,9.0
18460.0,15000000.0,15000000.0,1,1.0
18479.0,5850000.0,2925000.0,5,2.5
18592.0,21800000.0,10900000.0,6,3.0
18610.0,450000.0,450000.0,2,2.0
18753.0,39497835.0,19748917.5,36,18.0
18756.0,23400000.0,11700000.0,6,3.0
18785.0,11000000.0,11000000.0,2,2.0
19001.0,228715041.0,45743008.2,42,8.4
19050.0,19440000.0,9720000.0,16,8.0
19075.0,36310000.0,18155000.0,11,5.5
19100.0,15000000.0,15000000.0,2,2.0
19110.0,1500000.0,1500000.0,1,1.0
19130.0,21400000.0,10700000.0,5,2.5
19142.0,22360000.0,11180000.0,13,6.5
19290.0,850000.0,850000.0,1,1.0
19300.0,37500000.0,12500000.0,11,3.6666666666666665
19318.0,8600000.0,8600000.0,3,3.0
19355.0,10500000.0,10500000.0,5,5.0
19364.0,19500000.0,9750000.0,6,3.0
19392.0,4000000.0,4000000.0,1,1.0
19397.0,17000000.0,8500000.0,6,3.0
19418.0,7000000.0,3500000.0,2,1.0
19450.0,8850000.0,4425000.0,10,5.0
19455.0,14800000.0,14800000.0,3,3.0
19473.0,17200000.0,17200000.0,5,5.0
19513.0,14500000.0,7250000.0,3,1.5
19517.0,4000000.0,4000000.0,1,1.0
19532.0,5000000.0,5000000.0,1,1.0
19533.0,32100000.0,16050000.0,6,3.0
19548.0,14000000.0,14000000.0,4,4.0
19573.0,80150000.0,20037500.0,25,6.25
19585.0,14000000.0,14000000.0,4,4.0
19622.0,10050000.0,10050000.0,3,3.0
19693.0,26000000.0,13000000.0,7,3.5
19698.0,47661523.0,15887174.333333334,12,4.0
19701.0,7304000.0,3652000.0,2,1.0
19743.0,26103690.0,13051845.0,22,11.0
19760.0,19500000.0,9750000.0,5,2.5
19780.0,2000000.0,2000000.0,1,1.0
19785.0,6500000.0,6500000.0,2,2.0
19807.0,23270000.0,7756666.666666667,7,2.3333333333333335
19809.0,56500000.0,28250000.0,10,5.0
19821.0,12650000.0,6325000.0,12,6.0
19824.0,51000000.0,12750000.0,9,2.25
19845.0,26410000.0,13205000.0,7,3.5
20001.0,467500000.0,116875000.0,24,6.0
20011.0,86000000.0,43000000.0,4,2.0
20013.0,87170000.0,43585000.0,11,5.5
20045.0,9500000.0,4750000.0,2,1.0
20060.0,28000000.0,28000000.0,3,3.0
20175.0,8200000.0,4100000.0,3,1.5
20178.0,12200000.0,6100000.0,3,1.5
20228.0,29065000.0,9688333.333333334,9,3.0
20238.0,25330000.0,25330000.0,6,6.0
20310.0,500000.0,500000.0,1,1.0
20400.0,6500000.0,6500000.0,1,1.0
20443.0,26000000.0,26000000.0,3,3.0
20517.0,10000000.0,10000000.0,1,1.0
20614.0,2500000.0,2500000.0,1,1.0
20621.0,10880000.0,10880000.0,3,3.0
20770.0,30835800.0,30835800.0,2,2.0
20787.0,41750000.0,20875000.0,10,5.0
23001.0,407650000.0,135883333.33333334,27,9.0
23068.0,45600000.0,22800000.0,5,2.5
23090.0,12000000.0,6000000.0,3,1.5
23162.0,51820480.0,51820480.0,4,4.0
23168.0,19800000.0,19800000.0,5,5.0
23300.0,19000000.0,9500000.0,3,1.5
23350.0,15600000.0,15600000.0,3,3.0
23417.0,53000000.0,53000000.0,3,3.0
23419.0,38000000.0,38000000.0,6,6.0
23466.0,15000000.0,15000000.0,2,2.0
23500.0,4000000.0,4000000.0,1,1.0
23555.0,30000000.0,30000000.0,1,1.0
23570.0,13350000.0,13350000.0,3,3.0
23580.0,55000000.0,27500000.0,6,3.0
23660.0,111600000.0,27900000.0,13,3.25
23675.0,5000000.0,5000000.0,1,1.0
23678.0,33000000.0,16500000.0,8,4.0
23686.0,32300000.0,16150000.0,18,9.0
23855.0,60000000.0,20000000.0,16,5.333333333333333
25001.0,2607400.0,2607400.0,1,1.0
25019.0,8000000.0,8000000.0,2,2.0
25035.0,6500000.0,3250000.0,3,1.5
25040.0,1234310.0,1234310.0,1,1.0
25053.0,13550000.0,3387500.0,11,2.75
25095.0,10000000.0,10000000.0,2,2.0
25099.0,3000000.0,3000000.0,1,1.0
25120.0,1500000.0,1500000.0,1,1.0
25123.0,17950000.0,8975000.0,7,3.5
25126.0,64500000.0,21500000.0,16,5.333333333333333
25148.0,140000.0,140000.0,1,1.0
25154.0,600000.0,600000.0,1,1.0
25168.0,8000000.0,4000000.0,4,2.0
25175.0,73134000.0,36567000.0,11,5.5
25178.0,10700000.0,10700000.0,3,3.0
25183.0,5000000.0,5000000.0,1,1.0
25214.0,62800000.0,20933333.333333332,13,4.333333333333333
25224.0,6700000.0,3350000.0,5,2.5
25245.0,37182510.0,12394170.0,23,7.666666666666667
25258.0,5800000.0,5800000.0,5,5.0
25260.0,43450500.0,21725250.0,9,4.5
25269.0,98766400.0,32922133.333333332,16,5.333333333333333
25279.0,31210000.0,31210000.0,4,4.0
25286.0,88926415.0,29642138.333333332,8,2.6666666666666665
25288.0,2800000.0,2800000.0,1,1.0
25290.0,86900000.0,43450000.0,5,2.5
25293.0,47500000.0,23750000.0,11,5.5
25295.0,19900000.0,19900000.0,16,16.0
25307.0,121361660.0,60680830.0,20,10.0
25317.0,2550000.0,2550000.0,1,1.0
25322.0,610000.0,610000.0,1,1.0
25324.0,9346400.0,9346400.0,3,3.0
25328.0,10434000.0,10434000.0,7,7.0
25335.0,13966956.0,6983478.0,2,1.0
25368.0,12000000.0,12000000.0,4,4.0
25372.0,2000000.0,2000000.0,1,1.0
25377.0,12060000.0,12060000.0,2,2.0
25386.0,51848970.0,10369794.0,7,1.4
25402.0,26700000.0,26700000.0,6,6.0
25407.0,7000000.0,3500000.0,2,1.0
25426.0,2000000.0,2000000.0,1,1.0
25430.0,94260000.0,47130000.0,27,13.5
25436.0,2039000.0,2039000.0,2,2.0
25438.0,8000000.0,8000000.0,3,3.0
25473.0,10831750.0,5415875.0,2,1.0
25486.0,12500000.0,12500000.0,2,2.0
25489.0,2600000.0,2600000.0,1,1.0
25491.0,912000.0,912000.0,1,1.0
25518.0,6000000.0,6000000.0,2,2.0
25530.0,14200000.0,7100000.0,7,3.5
25572.0,7576500.0,1894125.0,20,5.0
25580.0,19400000.0,19400000.0,4,4.0
25596.0,8000000.0,8000000.0,2,2.0
25645.0,35000000.0,35000000.0,9,9.0
25649.0,500000.0,500000.0,1,1.0
25658.0,15500000.0,7750000.0,8,4.0
25662.0,7000000.0,7000000.0,2,2.0
25736.0,4450000.0,1483333.3333333333,3,1.0
25740.0,0.0,0.0,1,1.0
25743.0,13670167.0,4556722.333333333,5,1.6666666666666667
25754.0,47800000.0,11950000.0,7,1.75
25758.0,35788190.0,7157638.0,34,6.8
25769.0,1000000.0,1000000.0,1,1.0
25772.0,800000.0,800000.0,1,1.0
25781.0,1200000.0,1200000.0,1,1.0
25785.0,1500000.0,1500000.0,1,1.0
25797.0,8000000.0,8000000.0,1,1.0
25799.0,22500000.0,11250000.0,5,2.5
25807.0,522000.0,522000.0,1,1.0
25815.0,9500000.0,4750000.0,4,2.0
25817.0,17900000.0,5966666.666666667,4,1.3333333333333333
25823.0,4000000.0,4000000.0,2,2.0
25839.0,18000000.0,18000000.0,5,5.0
25843.0,30000000.0,30000000.0,2,2.0
25845.0,14137000.0,7068500.0,3,1.5
25851.0,18250000.0,9125000.0,21,10.5
25867.0,8150000.0,4075000.0,4,2.0
25873.0,16120000.0,5373333.333333333,7,2.3333333333333335
25875.0,34500000.0,11500000.0,10,3.3333333333333335
25898.0,4584320.0,4584320.0,1,1.0
25899.0,184202000.0,46050500.0,18,4.5
27001.0,80300000.0,40150000.0,5,2.5
27006.0,17990000.0,8995000.0,4,2.0
27050.0,41000000.0,41000000.0,5,5.0
27073.0,47500000.0,23750000.0,13,6.5
27075.0,41157892.0,41157892.0,5,5.0
27077.0,20000000.0,20000000.0,5,5.0
27099.0,40376000.0,40376000.0,8,8.0
27135.0,50500000.0,25250000.0,7,3.5
27150.0,33400000.0,16700000.0,6,3.0
27205.0,19500000.0,9750000.0,7,3.5
27245.0,32473970.0,16236985.0,14,7.0
27250.0,27000000.0,27000000.0,10,10.0
27361.0,7000000.0,7000000.0,2,2.0
27372.0,60300000.0,20100000.0,12,4.0
27413.0,32000000.0,32000000.0,5,5.0
27425.0,28000000.0,14000000.0,13,6.5
27495.0,53500000.0,26750000.0,25,12.5
27580.0,8900000.0,4450000.0,2,1.0
27600.0,63000000.0,31500000.0,7,3.5
27660.0,14500000.0,14500000.0,4,4.0
27745.0,53982000.0,53982000.0,6,6.0
27787.0,17000000.0,17000000.0,5,5.0
27810.0,12700000.0,6350000.0,2,1.0
41001.0,103624000.0,34541333.333333336,34,11.333333333333334
41006.0,12500000.0,12500000.0,2,2.0
41013.0,5000000.0,5000000.0,1,1.0
41016.0,16050000.0,5350000.0,6,2.0
41020.0,21400000.0,5350000.0,7,1.75
41026.0,5000000.0,5000000.0,2,2.0
41078.0,25700000.0,8566666.666666666,9,3.0
41132.0,19000000.0,19000000.0,4,4.0
41206.0,16500000.0,16500000.0,8,8.0
41244.0,3000000.0,3000000.0,1,1.0
41298.0,33576470.0,11192156.666666666,10,3.3333333333333335
41306.0,25900000.0,6475000.0,9,2.25
41319.0,18170000.0,18170000.0,9,9.0
41349.0,6900000.0,3450000.0,5,2.5
41359.0,38880000.0,19440000.0,9,4.5
41396.0,26534000.0,13267000.0,8,4.0
41483.0,29500000.0,14750000.0,5,2.5
41503.0,15000000.0,15000000.0,7,7.0
41524.0,33500000.0,33500000.0,7,7.0
41530.0,150000.0,150000.0,1,1.0
41548.0,39076950.0,13025650.0,12,4.0
41551.0,145868000.0,48622666.666666664,32,10.666666666666666
41615.0,5000000.0,5000000.0,1,1.0
41660.0,13840800.0,6920400.0,13,6.5
41668.0,24120000.0,12060000.0,9,4.5
41676.0,2900000.0,2900000.0,3,3.0
41770.0,17310000.0,5770000.0,10,3.3333333333333335
41791.0,15000000.0,15000000.0,4,4.0
41797.0,5000000.0,5000000.0,1,1.0
41799.0,3000000.0,3000000.0,1,1.0
41872.0,6000000.0,3000000.0,2,1.0
44035.0,6500000.0,6500000.0,2,2.0
44078.0,33593200.0,11197733.333333334,6,2.0
44090.0,11000000.0,5500000.0,3,1.5
44098.0,2280000.0,2280000.0,4,4.0
44110.0,14100000.0,14100000.0,5,5.0
44279.0,53500000.0,26750000.0,16,8.0
44430.0,494000000.0,164666666.66666666,38,12.666666666666666
44560.0,56000000.0,28000000.0,18,9.0
44650.0,51000000.0,25500000.0,5,2.5
44847.0,278000000.0,139000000.0,26,13.0
44855.0,24200000.0,12100000.0,16,8.0
44874.0,50180000.0,12545000.0,11,2.75
47001.0,957647285.0,239411821.25,91,22.75
47030.0,15000000.0,15000000.0,3,3.0
47053.0,12500000.0,6250000.0,3,1.5
47058.0,6300000.0,6300000.0,4,4.0
47161.0,23483000.0,11741500.0,4,2.0
47170.0,11000000.0,11000000.0,4,4.0
47189.0,152564800.0,38141200.0,23,5.75
47245.0,18372400.0,9186200.0,5,2.5
47288.0,62732983.0,62732983.0,5,5.0
47318.0,15000000.0,15000000.0,3,3.0
47460.0,10000000.0,10000000.0,1,1.0
47545.0,800000.0,800000.0,1,1.0
47551.0,5000000.0,5000000.0,1,1.0
47555.0,55000000.0,27500000.0,6,3.0
47570.0,35850000.0,11950000.0,15,5.0
47605.0,5000000.0,5000000.0,2,2.0
47660.0,5000000.0,5000000.0,4,4.0
47675.0,10283900.0,10283900.0,3,3.0
47692.0,19850000.0,19850000.0,1,1.0
47703.0,10000000.0,10000000.0,1,1.0
47707.0,25834900.0,25834900.0,18,18.0
47798.0,15500000.0,7750000.0,4,2.0
47960.0,4000000.0,4000000.0,2,2.0
50001.0,987867040.0,164644506.66666666,86,14.333333333333334
50006.0,80500000.0,20125000.0,12,3.0
50124.0,7500000.0,7500000.0,1,1.0
50150.0,7928000.0,3964000.0,8,4.0
50223.0,30050839.0,15025419.5,29,14.5
50226.0,31700000.0,15850000.0,8,4.0
50245.0,1500000.0,1500000.0,1,1.0
50251.0,40000000.0,20000000.0,9,4.5
50270.0,15900000.0,15900000.0,8,8.0
50287.0,17200000.0,17200000.0,4,4.0
50313.0,47609900.0,23804950.0,16,8.0
50318.0,38000000.0,38000000.0,5,5.0
50330.0,21000000.0,21000000.0,5,5.0
50350.0,20816500.0,20816500.0,5,5.0
50370.0,15000000.0,7500000.0,4,2.0
50400.0,8000000.0,8000000.0,2,2.0
50450.0,22000000.0,22000000.0,5,5.0
50568.0,80950180.0,26983393.333333332,60,20.0
50573.0,64700000.0,21566666.666666668,20,6.666666666666667
50577.0,13175000.0,6587500.0,27,13.5
50590.0,12900000.0,12900000.0,3,3.0
50606.0,12500000.0,12500000.0,3,3.0
50680.0,23200000.0,11600000.0,6,3.0
50683.0,32747500.0,10915833.333333334,9,3.0
50686.0,3700000.0,3700000.0,1,1.0
50689.0,7800000.0,3900000.0,2,1.0
50711.0,22800000.0,22800000.0,4,4.0
52001.0,81000000.0,27000000.0,20,6.666666666666667
52022.0,10000000.0,10000000.0,4,4.0
52079.0,43550000.0,8710000.0,13,2.6
52083.0,6000000.0,6000000.0,3,3.0
52203.0,3000000.0,3000000.0,1,1.0
52207.0,13000000.0,6500000.0,4,2.0
52215.0,12000000.0,6000000.0,2,1.0
52224.0,7000000.0,7000000.0,3,3.0
52227.0,2000000.0,2000000.0,1,1.0
52233.0,35000000.0,35000000.0,4,4.0
52240.0,7000000.0,3500000.0,2,1.0
52254.0,780000.0,780000.0,2,2.0
52258.0,2000000.0,2000000.0,1,1.0
52260.0,7000000.0,3500000.0,3,1.5
52287.0,5000000.0,5000000.0,2,2.0
52317.0,4800000.0,4800000.0,7,7.0
52320.0,7500000.0,7500000.0,1,1.0
52323.0,6000000.0,6000000.0,2,2.0
52354.0,23200000.0,23200000.0,4,4.0
52356.0,96240000.0,48120000.0,12,6.0
52381.0,21000000.0,21000000.0,2,2.0
52385.0,9300000.0,9300000.0,3,3.0
52405.0,12000000.0,12000000.0,2,2.0
52418.0,13500000.0,6750000.0,3,1.5
52480.0,8000000.0,4000000.0,2,1.0
52490.0,64000000.0,32000000.0,8,4.0
52520.0,10000000.0,10000000.0,2,2.0
52540.0,3000000.0,3000000.0,1,1.0
52560.0,5000000.0,5000000.0,1,1.0
52565.0,4000000.0,4000000.0,1,1.0
52573.0,4000000.0,4000000.0,2,2.0
52585.0,10000000.0,10000000.0,2,2.0
52612.0,5300000.0,5300000.0,4,4.0
52621.0,24487329.0,12243664.5,9,4.5
52685.0,5800000.0,5800000.0,1,1.0
52696.0,43000000.0,43000000.0,1,1.0
52720.0,9000000.0,9000000.0,2,2.0
52786.0,5800000.0,5800000.0,1,1.0
52788.0,10000000.0,10000000.0,2,2.0
52835.0,67000000.0,33500000.0,9,4.5
52838.0,15700000.0,15700000.0,4,4.0
54001.0,859646233.0,171929246.6,60,12.0
54051.0,22000000.0,11000000.0,5,2.5
54099.0,5000000.0,5000000.0,1,1.0
54128.0,22300000.0,11150000.0,8,4.0
54172.0,14580000.0,4860000.0,3,1.0
54174.0,5000000.0,5000000.0,1,1.0
54206.0,20000000.0,20000000.0,4,4.0
54239.0,1000000.0,1000000.0,1,1.0
54250.0,18246000.0,9123000.0,6,3.0
54261.0,22107000.0,22107000.0,5,5.0
54313.0,5000000.0,5000000.0,1,1.0
54344.0,25700000.0,12850000.0,9,4.5
54377.0,10000000.0,10000000.0,2,2.0
54385.0,2000000.0,2000000.0,1,1.0
54398.0,10000000.0,10000000.0,2,2.0
54405.0,36400000.0,12133333.333333334,7,2.3333333333333335
54498.0,158400482.0,39600120.5,29,7.25
54518.0,28299900.0,14149950.0,7,3.5
54599.0,2000000.0,2000000.0,1,1.0
54670.0,16050000.0,16050000.0,16,16.0
54673.0,22000000.0,11000000.0,3,1.5
54680.0,3500000.0,3500000.0,1,1.0
54800.0,21500000.0,21500000.0,5,5.0
54810.0,24762218.0,24762218.0,14,14.0
54820.0,8000000.0,8000000.0,2,2.0
54871.0,38000000.0,19000000.0,3,1.5
54874.0,128100000.0,32025000.0,7,1.75
63001.0,63000000.0,15750000.0,11,2.75
63130.0,5800000.0,5800000.0,4,4.0
63190.0,46300000.0,15433333.333333334,9,3.0
63212.0,16100000.0,5366666.666666667,11,3.6666666666666665
63302.0,3000000.0,3000000.0,1,1.0
63401.0,5000000.0,5000000.0,1,1.0
63470.0,10000000.0,10000000.0,1,1.0
